"BehaviorSpace results (NetLogo 6.2.2)"
"Communication MASTER model.nlogo"
"Testing_Foraging_test_comm_w_err_HPC"
"06/09/2022 06:48:02:947 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-150","150","-150","150"
"[run number]","simulation-duration","record-exploration","number-of-ants","world-size","cluster-radius","number-of-clusters","resources-per-cluster","value-per-resource","handling-time","probability-activate-exploiters","probability-activate-explorers","probability-inactivate-exploiters","probability-inactivate-explorers","prob-starting-yellow","tortuosity","steplength","search-slowdown-factor","sense-radius","error-level","error-probability","open-probability","close-probability","prop-res-initially-closed","communication-mode","signal-strength","pheromone-deposited","pheromone-fade-rate","communication-time-cost","movement-algorithm","MODULE_INITIAL_RESOURCES","MODULE_RESOURCE_BEHAVIOR","MODULE_RESOURCE_QUALITY","MODULE_1ON1_COMMUNICATION","MODULE_INDIV_ERRORS","MODULE_SEARCH_PATH_ALGORITHM","[step]","total-available-resource-value","average-resource-quality","average-resource-distance","total-no-of-resources","proportion-patches-explored","timesteps-firstcollected","collected-resource-units","total-resources-discovered","timesteps-halfcollected","timesteps-allcollected","timesteps-firstresourceempty","average-number-of-resources-concurrently-exploited","total-agent-timesteps-spent-inactive","total-agent-timesteps-spent-searching","total-agent-timesteps-spent-collecting","proportion-agents-who-collected","unsuccessful-search-trips","average-search-distance","successful-search-trips","amount-collected-by-top-ants","average-exploited-resource-distance","average-exploited-resource-quality","total-acts-of-receiving-info","runtime","no-of-patches","oddness"
"11","2000","true","50","300","5","50","10","5","0","0.1","0.037","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","2500","5","118.1362580533121","500","0.11082659131797662","13","197","43","-9","-9","57","8.016008004002002","8673","70506","14913","0.7","243","23.106959117476425","64","7","37.78360845304538","0","0","1155.134","90601","0"
"13","2000","true","50","300","5","5","10","5","0","0.1","0.6","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","250","5","83.36772388074459","50","0.10272513548415581","235","69","15","-9","-9","583","3.269634817408704","1148","85433","5912","0.22","325","21.562799942096436","16","0","41.94746320554935","0","0","1140.428","90601","0"
"14","2000","true","50","300","5","10","10","5","0","0.1","0.6","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","500","5","107.44056310626611","100","0.11776911954614187","1228","15","5","-9","-9","1703","0.7958979489744873","804","89739","1571","0.1","343","22.68583947419081","6","0","56.12131287313728","0","0","1149.955","90601","0"
"15","2000","true","50","300","5","50","10","5","0","0.1","0.6","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","2500","5","108.59392789920805","500","0.11152194788136996","9","324","69","-9","-9","34","11.465732866433216","3733","67913","22548","0.78","227","23.992556458923463","118","10","34.341948313952734","0","0","1112.92","90601","0"
"16","2000","true","50","300","5","100","10","5","0","0.1","0.6","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","5000","5","113.42222667864255","1000","0.10342049204754915","2","272","58","-9","-9","3","8.400200100050025","3243","74397","16184","0.86","274","22.39355337761573","110","9","28.841074555307635","0","0","1215.513","90601","0"
"17","2000","true","50","300","5","5","10","5","0","0.1","3.7E-4","0.001","0.0037","0.25","60","1","1","0.5","20","0.5","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","250","5","103.34493393063804","50","0.06027527289985762","65","55","11","-9","-9","302","1.8469234617308654","77161","18146","3056","0.1","61","26.446136953275776","12","0","26.166853563057742","0","0","258.968","90601","0"
"19","2000","true","50","300","5","50","10","5","0","0.1","3.7E-4","0.001","0.0037","0.25","60","1","1","0.5","20","0.5","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","2500","5","113.46534478225288","500","0.03978984779417446","5","125","25","-9","-9","21","2.708354177088544","81073","12990","4666","0.4","59","18.831046953275532","37","4.5","17.189832348053606","0","0","224.357","90601","0"
"18","2000","true","50","300","5","10","10","5","0","0.1","3.7E-4","0.001","0.0037","0.25","60","1","1","0.5","20","0.5","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","500","5","94.97665274849389","100","0.053851502742795335","11","81","17","-9","-9","70","2.0015007503751874","76109","18306","3875","0.4","68","21.848722426341233","31","2.5","22.571183445897052","0","0","266.255","90601","0"
"20","2000","true","50","300","5","100","10","5","0","0.1","3.7E-4","0.001","0.0037","0.25","60","1","1","0.5","20","0.5","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","5000","5","116.21609337685318","1000","0.041059149457511504","16","165","34","-9","-9","139","4.731365682841421","78071","12455","8193","0.4","56","20.680339420468542","40","5","23.74963416502462","0","0","251.921","90601","0"
"21","2000","true","50","300","5","5","10","5","0","0.1","0.0037","0.001","0.0037","0.25","60","1","1","0.5","20","0.5","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","250","5","118.10636106748301","50","0.09972296111521949","356","11","3","-9","-9","860","0.7803901950975488","42715","51894","1276","0.04","163","24.242938986154154","3","0","53.3133720720469","0","0","679.886","90601","0"
